fecha_hora,cantidad_pasos,dias
2019-02-03,43031.0,Sunday
2019-02-04,27343.0,Monday
2019-02-05,39333.0,Tuesday
2019-02-06,30992.0,Wednesday
2019-02-07,39282.0,Thursday
2019-02-08,43170.0,Friday
2019-02-09,37268.0,Saturday
2019-02-10,40816.0,Sunday
2019-02-11,29980.0,Monday
2019-02-12,39144.0,Tuesday
2019-02-13,39659.0,Wednesday
2019-02-14,39625.0,Thursday
2019-02-15,48018.0,Friday
2019-02-16,39283.0,Saturday
2019-02-17,37955.0,Sunday
2019-02-18,42869.0,Monday
2019-02-19,40680.0,Tuesday
2019-02-20,42452.0,Wednesday
2019-02-21,43635.0,Thursday
2019-02-22,44754.0,Friday
2019-02-23,35645.0,Saturday
2019-02-24,34404.0,Sunday
2019-02-25,41032.0,Monday
2019-02-26,39691.0,Tuesday
2019-02-27,42911.0,Wednesday
2019-02-28,45492.0,Thursday
2019-03-01,40830.0,Friday
2019-03-02,39542.0,Saturday
2019-03-03,39421.0,Sunday
2019-03-04,41991.0,Monday
2019-03-05,45154.0,Tuesday
2019-03-06,36620.0,Wednesday
2019-03-07,40915.0,Thursday
2019-03-08,40993.0,Friday
2019-03-09,38375.0,Saturday
2019-03-10,41499.0,Sunday
2019-03-11,34489.0,Monday
2019-03-12,39325.0,Tuesday
2019-03-13,42047.0,Wednesday
2019-03-14,43956.0,Thursday
2019-03-15,46695.0,Friday
2019-03-16,39347.0,Saturday
2019-03-17,32975.0,Sunday
2019-03-18,41118.0,Monday
2019-03-19,36358.0,Tuesday
2019-03-20,40441.0,Wednesday
2019-03-21,40264.0,Thursday
2019-03-22,45496.0,Friday
2019-03-23,41240.0,Saturday
2019-03-24,31797.0,Sunday
2019-03-25,41071.0,Monday
2019-03-26,41077.0,Tuesday
